[06/09/2022 22:09:36] Player: Panchito Obson | Reward: king warrior legs
[06/09/2022 22:39:46] Player: Panchito Obson | Reward: king warrior boots
[06/09/2022 22:49:38] Player: Panchito Obson | Reward: king mage armor
[07/09/2022 14:10:32] Player: Maisumcalango | Reward: king warrior shield
[08/09/2022 07:21:02] Player: Ghikz | Reward: king mage spellbook
[08/09/2022 09:16:10] Player: Char Cinco | Reward: king warrior helmet
[08/09/2022 20:06:06] Player: Twonai | Reward: king warrior amulet
[09/09/2022 00:38:51] Player: Duma | Reward: king ranger armor
[10/09/2022 10:55:39] Player: Air Wilson | Reward: king warrior helmet
[11/09/2022 22:49:20] Player: Pally Maldito | Reward: king mage armor
[19/09/2022 08:36:08] Player: Psycho Perverso | Reward: king mage hat
[22/09/2022 12:50:19] Player: Lex Mutor | Reward: king ranger legs
[25/09/2022 13:03:40] Player: King Of Pally | Reward: king mage spellbook
[25/09/2022 13:03:50] Player: King Of Pally | Reward: king ranger helmet
[25/09/2022 16:47:41] Player: Voris Dos | Reward: king warrior amulet
[25/09/2022 16:56:11] Player: Voris sinco | Reward: king ranger helmet
[26/09/2022 00:39:18] Player: Billy | Reward: king mage boots
[26/09/2022 09:46:32] Player: Revoltado | Reward: king ranger helmet
[10/10/2022 13:42:29] Player: Escanor | Reward: king mage spellbook
[11/10/2022 19:08:16] Player: Podolsky | Reward: king ranger armor
[11/10/2022 19:08:20] Player: Podolsky | Reward: king ring
[11/10/2022 19:08:24] Player: Podolsky | Reward: king mage amulet
[11/10/2022 19:08:25] Player: Podolsky | Reward: king ranger amulet
[11/10/2022 19:08:26] Player: Podolsky | Reward: king mage spellbook
